,Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
12115,5.56,5.28,405,1,262,12.7,3.7,80.2,124476925,2039704,4658596,128011645,0,48000000,660,0,49000,104000,tpc
12116,5.56,5.28,405,1,262,10.8,2.8,82.5,124476925,2039704,4658596,128011645,0,39000000,562,0,56000,119000,tpc
12117,5.56,5.28,405,2,262,8.9,1.9,85.5,124476925,2039704,4658596,128011645,0,45000000,480,0,54000,114000,tpc
12118,5.56,5.28,405,2,262,14.1,3.9,78.7,124472925,2034700,4667600,128016065,0,44000000,691,155,58000,121000,tpc
12119,5.56,5.28,405,2,262,10.0,3.0,83.2,124472925,2034700,4667600,128016065,0,44000000,660,0,59000,118000,tpc
12120,5.68,5.31,405,2,262,13.0,3.9,79.6,124473085,2034840,4667304,128016285,0,46000000,660,0,52000,107000,tpc
12121,5.68,5.31,405,1,262,8.2,2.9,85.3,124473085,2034840,4667304,128016285,0,43000000,600,0,55000,114000,tpc
12122,5.68,5.31,405,2,262,14.1,3.6,79.1,124473085,2034840,4667304,128016285,0,49000000,300,0,49000,103000,tpc
12123,5.68,5.31,405,2,261,10.6,2.9,82.8,124470885,2037052,4667304,128014205,0,37000000,420,0,69000,145000,tpc
12124,5.54,5.29,405,2,262,13.3,3.2,80.2,124470885,2037052,4667304,128014205,0,48000000,1104,0,43000,90000,tpc
12125,5.54,5.29,405,2,262,11.0,3.2,82.2,124470885,2037052,4667304,128014205,0,42000000,664,0,68000,143000,tpc
12126,5.54,5.29,405,2,262,12.4,3.3,81.3,124467925,2035876,4671432,128015525,0,46000000,300,0,53000,110000,tpc
12127,5.54,5.29,405,1,262,10.4,3.2,82.7,124467925,2035876,4671432,128015525,0,40000000,442,0,61000,128000,tpc
12128,5.54,5.29,405,3,260,14.0,3.4,79.6,124467925,2035876,4671432,128015525,0,46000000,579,0,52000,111000,tpc
12129,5.58,5.3,405,1,262,11.5,3.3,81.4,124467495,2035988,4671748,128015205,0,44000000,300,0,57000,119000,tpc
12130,5.58,5.3,405,2,262,10.2,2.6,83.3,124467495,2035988,4671748,128015205,0,44000000,120,0,51000,107000,tpc
12131,5.58,5.3,405,2,262,12.2,3.4,80.8,124467495,2035988,4671748,128015205,0,42000000,2698,0,60000,126000,tpc
12132,5.58,5.3,405,1,262,11.7,3.2,81.5,124459075,2035680,4680476,128015025,0,50000000,480,0,58000,121000,tpc
12133,5.58,5.3,405,1,262,10.4,3.0,82.9,124459075,2035680,4680476,128015025,0,43000000,800,54,53000,111000,tpc
12134,5.37,5.26,405,2,262,11.6,2.9,82.0,124459075,2035680,4680476,128015025,0,43000000,740,0,55000,116000,tpc
12135,5.37,5.26,405,2,261,11.1,3.0,82.3,124457965,2036464,4680800,128014255,0,45000000,540,0,55000,116000,tpc
12136,5.37,5.26,405,3,262,12.3,3.1,80.7,124457965,2036464,4680800,128014255,0,42000000,599,0,58000,120000,tpc
12137,5.37,5.26,405,2,262,10.6,2.7,82.9,124457965,2036464,4680800,128014255,0,42000000,958,0,53000,112000,tpc
12138,5.37,5.26,405,2,262,10.4,2.6,83.4,124454975,2035520,4684736,128015395,0,43000000,360,0,54000,112000,tpc
12139,5.34,5.26,405,1,262,11.3,3.2,82.1,124454975,2035520,4684736,128015395,0,44000000,960,0,53000,112000,tpc
