Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
13.68,12.81,595,5,352,28.4,0.9,70.7,32330480,97016760,1823056,33076024,0,0,720,0,3335,1837,linpack
13.68,12.81,595,5,352,22.9,6.3,70.8,32330480,97016760,1823056,33076024,0,0,720,0,5365,3101,linpack
13.68,12.81,595,5,352,28.1,1.1,70.7,32330480,97016760,1823056,33076024,0,0,1429,0,5310,2881,linpack
13.68,12.81,595,5,352,28.3,1,70.8,32330244,97016848,1823204,33075900,0,0,904,0,5267,2859,linpack
13.68,12.81,595,5,352,28.3,0.9,70.8,32330244,97016848,1823204,33075900,0,272000,870,78,5363,2869,linpack
13.71,12.83,595,5,352,23.5,5.8,70.8,32330244,97016848,1823204,33075900,0,40000,1024,0,5418,3040,linpack
13.71,12.83,595,5,352,28.2,1.1,70.7,32330120,97016824,1823352,33075916,0,0,724,0,5252,2807,linpack
13.71,12.83,595,5,352,28.3,1,70.7,32330120,97016824,1823352,33075916,0,0,720,0,5243,2854,linpack
13.71,12.83,595,5,352,28.2,1.1,70.7,32330120,97016824,1823352,33075916,0,0,720,0,5288,2846,linpack
13.71,12.83,595,5,352,21.2,8,70.7,32330120,97016664,1823512,33076084,0,276000,1320,0,5357,3037,linpack
13.73,12.85,595,5,352,27.7,1.5,70.8,32330120,97016664,1823512,33076084,0,24000,600,0,5289,2845,linpack
13.73,12.85,595,5,352,23.1,4.7,72.2,32330120,97016664,1823512,33076084,0,0,840,0,5220,2806,linpack
13.73,12.85,595,5,352,20.2,1.6,78.3,32330992,97015640,1823664,33077096,0,0,900,0,5199,2738,linpack
13.73,12.85,595,5,352,28.4,0.8,70.7,32330992,97015640,1823664,33077096,0,0,1552,0,5295,2939,linpack
13.75,12.87,595,5,352,28.5,0.7,70.7,32330992,97015640,1823664,33077096,0,264000,977,0,5319,2869,linpack
13.75,12.87,595,5,352,27.7,1.5,70.7,32330992,97015488,1823816,33077268,0,32000,720,0,3746,2083,linpack
13.75,12.87,595,5,352,25.3,4,70.7,32330992,97015488,1823816,33077268,0,0,939,0,5288,2853,linpack
13.75,12.87,595,5,352,28.2,1.1,70.7,32330992,97015488,1823816,33077268,0,0,780,0,5303,2994,linpack
13.75,12.87,595,5,352,28.5,0.8,70.7,32330744,97015584,1823972,33077160,0,0,1199,0,5318,2892,linpack
13.77,12.89,595,5,352,26.4,2.8,70.7,32330744,97015584,1823972,33077160,0,268000,840,0,5317,2903,linpack
13.77,12.89,595,5,352,26,3.3,70.7,32330748,97015472,1824072,33077304,0,24000,660,0,5262,2848,linpack
13.77,12.89,595,5,352,28,1.3,70.7,32330748,97015472,1824072,33077304,0,0,720,0,5303,2988,linpack
13.77,12.89,595,5,352,28.1,1.1,70.8,32330748,97015472,1824072,33077304,0,0,480,0,5281,2835,linpack
13.77,12.89,595,5,352,24.2,5,70.7,32330504,97015568,1824220,33077172,0,0,1020,0,5288,2870,linpack
13.79,12.91,595,5,352,22.6,6.7,70.7,32330504,97015568,1824220,33077172,0,260000,900,0,5237,2812,linpack
13.79,12.91,595,5,352,21.3,2.6,76.1,32330504,97015568,1824220,33077172,0,24000,720,0,5290,2971,linpack
13.79,12.91,595,5,352,12.5,4.3,83.2,32331004,97014920,1824372,33077860,0,0,682,0,5245,2785,linpack
13.79,12.91,595,5,352,20,1.6,78.4,32331004,97014920,1824372,33077860,0,0,1020,0,5246,2819,linpack
13.79,12.91,595,5,352,28.5,0.7,70.8,32331004,97014920,1824372,33077860,0,0,802,0,5304,2890,linpack
13.81,12.93,595,5,352,28.5,0.8,70.7,32331004,97014720,1824576,33077996,0,308000,1080,0,4089,2393,linpack
13.81,12.93,595,5,352,28.3,0.9,70.7,32331004,97014720,1824576,33077996,0,24000,1162,0,2975,1725,linpack
13.81,12.93,595,5,352,24.3,4.9,70.7,32331004,97014720,1824576,33077996,0,0,1620,0,4758,2710,linpack
13.81,12.93,595,5,352,28.2,1.1,70.7,32331004,97014560,1824728,33078164,0,0,1402,0,5315,2893,linpack
13.81,12.93,595,5,352,28.5,0.7,70.7,32331004,97014560,1824728,33078164,0,0,960,0,5324,3030,linpack
13.82,12.94,595,5,352,27.7,1.5,70.7,32331004,97014560,1824728,33078164,0,0,1582,0,5319,2881,linpack
13.82,12.94,595,5,352,25.3,4,70.7,32330764,97014656,1824880,33078092,0,20000,1260,0,5271,2838,linpack
13.82,12.94,595,5,352,27.9,1.4,70.7,32330764,97014656,1824880,33078092,0,0,1542,169,5309,2918,linpack
13.82,12.94,595,5,352,28.2,1.1,70.7,32330764,97014656,1824880,33078092,0,0,1036,0,5333,3023,linpack
13.82,12.94,595,5,352,27,2.2,70.7,32330652,97014616,1825028,33078092,0,0,982,0,5221,2783,linpack
13.84,12.96,595,5,352,21.9,7.4,70.7,32330652,97014616,1825028,33078092,0,0,1620,0,5326,2890,linpack
13.84,12.96,595,5,352,25,4.2,70.7,32330652,97014616,1825028,33078092,0,568000,840,0,5239,2779,linpack
13.84,12.96,595,5,352,17.2,2.1,80.7,32330776,97014336,1825180,33078384,0,40000,904,0,5324,2978,linpack
13.84,12.96,595,5,352,28.4,0.9,70.7,32330776,97014336,1825180,33078384,0,0,964,0,5249,2800,linpack
13.84,12.96,595,5,352,28.4,0.9,70.8,32330776,97014336,1825180,33078384,0,0,1140,0,5223,2784,linpack
13.85,12.98,595,5,352,28.3,0.9,70.7,32330652,97014304,1825340,33078376,0,0,1464,0,5261,2831,linpack
13.85,12.98,595,5,352,21.3,8,70.7,32330652,97014304,1825340,33078376,0,0,1024,0,3852,2297,linpack
13.85,12.98,595,5,352,28.4,0.9,70.7,32330652,97014304,1825340,33078376,0,16000,480,0,5154,2826,linpack
13.85,12.98,595,5,352,28.4,0.9,70.7,32330528,97014224,1825548,33078476,0,0,900,0,5256,2843,linpack
13.85,12.98,595,5,352,28.2,1,70.7,32330528,97014224,1825548,33078476,0,0,660,0,5245,2813,linpack
14.02,13.03,595,5,352,22.8,6.4,70.8,32330528,97014224,1825548,33078476,0,0,780,0,5316,2996,linpack
14.02,13.03,595,5,352,28.3,0.9,70.7,32330400,97014192,1825704,33078516,0,0,540,0,5234,2777,linpack
14.02,13.03,595,5,352,28.2,1,70.7,32330400,97014192,1825704,33078516,0,560000,840,0,5320,2920,linpack
14.02,13.03,595,5,352,28.3,0.9,70.8,32330400,97014192,1825704,33078516,0,0,600,0,5229,2800,linpack
14.02,13.05,595,5,352,23.4,5.8,70.8,32330160,97014288,1825848,33078388,0,0,480,0,5301,2943,linpack
14.02,13.05,595,5,352,27.6,1.7,70.7,32330160,97014288,1825848,33078388,0,0,899,0,5256,2847,linpack
14.02,13.05,595,5,352,14.1,3.7,82.2,32330532,97013816,1825948,33078872,0,0,1080,0,5301,2889,linpack
14.02,13.05,595,5,352,28.1,0.7,71.2,32330532,97013816,1825948,33078872,0,348000,759,0,5258,2813,linpack
14.02,13.05,595,5,352,28.4,0.9,70.7,32330532,97013816,1825948,33078872,0,0,780,0,5297,2958,linpack
14.02,13.06,595,5,352,28.2,1.1,70.8,32330532,97013648,1826112,33079040,0,0,1079,0,5204,2759,linpack
14.02,13.06,595,5,352,24.1,5.1,70.7,32330532,97013648,1826112,33079040,0,0,840,0,5272,2887,linpack
14.02,13.06,595,5,352,27.7,1.5,70.7,32330532,97013648,1826112,33079040,0,0,540,0,3377,1911,linpack
14.02,13.06,595,5,352,28.2,1.1,70.7,32330532,97013504,1826264,33079208,0,336000,960,0,5412,3118,linpack
14.02,13.06,595,5,352,28.3,1,70.7,32330532,97013504,1826264,33079208,0,0,840,0,5259,2842,linpack
14.02,13.08,595,5,352,22.6,6.6,70.8,32330532,97013504,1826264,33079208,0,0,780,0,5271,2861,linpack
14.02,13.08,595,5,352,27.2,2.1,70.7,32330540,97013336,1826420,33079328,0,0,720,0,5237,2795,linpack
14.02,13.08,595,5,352,28.3,0.9,70.7,32330540,97013336,1826420,33079328,0,0,900,0,5306,3003,linpack
14.02,13.08,595,5,352,28.2,1.1,70.6,32330540,97013336,1826420,33079328,0,300000,1079,0,5288,2848,linpack
14.02,13.08,595,5,352,24.2,5,70.8,32330508,97013216,1826572,33079468,0,0,802,0,5248,2822,linpack
14.02,13.09,595,5,352,26,3.2,70.8,32330508,97013216,1826572,33079468,0,0,562,0,5232,2820,linpack
14.02,13.09,595,5,352,21.1,3.7,75.3,32330508,97013216,1826572,33079468,0,0,1560,0,5394,3058,linpack
14.02,13.09,595,5,352,22.8,1.4,75.8,32330896,97012672,1826724,33080024,0,0,840,0,5238,2809,linpack
14.02,13.09,595,5,352,28.5,0.7,70.7,32330896,97012672,1826724,33080024,4096,328000,922,0,5314,2899,linpack
14.02,13.09,595,5,352,28.3,1,70.7,32330896,97012672,1826724,33080024,0,0,824,0,5227,2796,linpack
14.01,13.11,595,5,352,26.9,2.3,70.8,32330896,97012520,1826880,33080136,0,0,600,0,5276,2931,linpack
14.01,13.11,595,5,352,26.4,2.9,70.7,32330896,97012520,1826880,33080136,0,0,2568,0,4725,2586,linpack
14.01,13.11,595,5,352,28.4,0.9,70.7,32330896,97012520,1826880,33080136,0,0,1217,0,4390,2422,linpack
14.01,13.11,595,5,352,28.3,1.1,70.7,32330772,97012496,1827032,33080180,0,312000,781,0,5266,2857,linpack
14.01,13.11,595,5,352,24.8,4.4,70.7,32330772,97012496,1827032,33080180,0,0,720,0,5321,2979,linpack
14.01,13.12,595,5,352,25.3,3.9,70.8,32330772,97012496,1827032,33080180,0,0,480,0,5254,2846,linpack
14.01,13.12,595,5,352,28.2,1.1,70.7,32330652,97012464,1827180,33080232,0,0,780,0,5300,2887,linpack
14.01,13.12,595,5,352,28.2,1.1,70.7,32330652,97012464,1827180,33080232,0,0,660,0,5224,2781,linpack
14.01,13.12,595,5,352,25.1,4.2,70.7,32330652,97012464,1827180,33080232,0,0,960,0,5375,3058,linpack
14.01,13.12,595,5,352,23.2,6,70.8,32330408,97012544,1827340,33080100,0,300000,959,0,5287,2871,linpack
14.01,13.14,595,5,352,24.6,4,71.4,32330408,97012544,1827340,33080100,0,0,964,54,5431,2878,linpack
14.01,13.14,595,5,352,20.9,1.5,77.6,32330408,97012544,1827340,33080100,0,0,724,0,5373,2886,linpack
14.01,13.14,595,5,352,28.5,0.8,70.7,32330536,97012272,1827492,33080396,0,0,1355,155,5361,3048,linpack
14.01,13.14,595,5,352,28.9,0.7,70.3,32330536,97012272,1827492,33080396,0,0,904,0,5255,2817,linpack
