,Average1,Average5,TasksTotal,TasksRuning,TasksSleeping,CpuUs,CpuSy,CpuId,MemFree,MemUsed,MemBuff,SwapAvail,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,SysCsw,species
7648,10.2,10.23,391,1,249,0.0,0.1,69.5,128792175,1226352,1156704,128903475,8240000,4096,480,0,1281,2011,fio
7649,10.2,10.23,391,1,249,0.1,0.1,72.4,128792175,1226352,1156704,128903475,7984000,0,622,0,1327,2061,fio
7650,10.2,10.23,391,1,249,0.0,0.0,74.9,128792175,1226352,1156704,128903475,8144000,56000,922,0,1309,1997,fio
7651,10.27,10.24,391,1,249,0.1,0.1,74.2,128792005,1226368,1156860,128903445,8112000,0,600,0,1287,2020,fio
7652,10.27,10.24,391,1,249,0.1,0.1,77.8,128792005,1226368,1156860,128903445,7984000,228000,815,169,1276,1974,fio
7653,10.27,10.24,391,1,249,0.1,0.0,74.9,128792005,1226368,1156860,128903445,8048000,0,1041,0,1342,2092,fio
7654,10.27,10.24,391,1,249,0.1,0.2,74.8,128791895,1226368,1156968,128903425,8144000,4096,764,0,1263,1954,fio
7655,10.27,10.24,391,1,249,0.1,0.1,74.8,128791895,1226368,1156968,128903425,8608000,4096,1260,0,1355,2066,fio
7656,10.24,10.24,391,1,249,0.1,0.1,76.5,128791895,1226368,1156968,128903425,8176000,4096,480,0,1291,2010,fio
7657,10.24,10.24,391,1,249,0.1,0.0,79.1,128791905,1226256,1157076,128903525,8384000,20000,600,0,1360,2104,fio
7658,10.24,10.24,391,1,249,0.1,0.1,79.0,128791905,1226256,1157076,128903525,8048000,4096,682,0,1258,1941,fio
7659,10.24,10.24,391,1,249,0.1,0.1,80.4,128791905,1226256,1157076,128903525,8224000,180000,699,0,1298,2010,fio
7660,10.24,10.24,391,2,248,0.1,0.1,79.1,128791775,1226276,1157180,128903505,8352000,0,480,0,1285,1988,fio
7661,10.22,10.23,391,2,248,0.1,0.1,79.0,128791775,1226276,1157180,128903505,7888000,0,420,0,1299,2038,fio
7662,10.22,10.23,391,1,249,0.0,0.0,79.1,128791775,1226276,1157180,128903505,7728000,16000,540,0,1302,1983,fio
7663,10.22,10.23,391,1,249,0.1,0.2,78.9,128791685,1226284,1157264,128903515,18000000,208000,1036,0,2969,4629,fio
7664,10.22,10.23,391,1,249,0.1,0.0,79.1,128791685,1226284,1157264,128903515,5312000,0,300,0,818,1286,fio
7665,10.22,10.23,391,1,249,0.1,0.1,79.0,128791685,1226284,1157264,128903515,8080000,4096,420,0,1237,1943,fio
7666,10.29,10.25,391,1,249,0.1,0.0,75.7,128791605,1226264,1157372,128903555,7920000,24000,480,0,1264,1969,fio
7667,10.29,10.25,391,1,249,0.1,0.0,74.9,128791605,1226264,1157372,128903555,8160000,0,360,0,1276,1981,fio
7668,10.29,10.25,391,1,249,0.1,0.1,74.9,128791605,1226264,1157372,128903555,7888000,208000,904,0,1302,2016,fio
7669,10.29,10.25,391,1,249,0.0,0.0,74.9,128791475,1226284,1157476,128903485,7520000,0,784,0,1257,1914,fio
7670,10.29,10.25,391,1,249,0.0,0.0,75.0,128791475,1226284,1157476,128903485,7360000,4096,784,0,1268,1921,fio
7671,10.42,10.28,391,1,249,0.1,0.1,70.7,128791475,1226284,1157476,128903485,7920000,28000,784,0,1315,2013,fio
7672,10.42,10.28,391,1,249,0.0,0.1,72.3,128791465,1226160,1157608,128903605,7872000,0,866,0,1372,2107,fio
7673,10.42,10.28,391,1,249,0.1,0.0,70.8,128791465,1226160,1157608,128903605,8272000,0,780,0,1322,2028,fio
7674,10.42,10.28,391,1,249,0.1,0.1,71.7,128791465,1226160,1157608,128903605,8320000,8192,720,0,1330,2041,fio
7675,10.42,10.28,391,1,249,0.1,0.1,74.9,128791535,1225992,1157708,128903775,7968000,172000,480,0,1249,1946,fio
7676,10.47,10.29,391,1,249,0.4,0.2,74.4,128791535,1225992,1157708,128903775,8208000,72000,682,0,1355,2095,fio
7677,10.47,10.29,391,1,249,0.0,0.1,74.9,128791535,1225992,1157708,128903775,8160000,0,720,0,1352,2067,fio
7678,10.47,10.29,391,1,249,0.0,0.1,71.4,128791425,1225936,1157868,128903785,8016000,0,1225,0,1332,2015,fio
7679,10.47,10.29,391,1,249,0.1,0.1,70.7,128791425,1225936,1157868,128903785,8320000,0,600,0,1342,2060,fio
7680,10.47,10.29,391,1,249,0.1,0.0,70.8,128791425,1225936,1157868,128903785,8368000,172000,540,0,1402,2181,fio
7681,10.51,10.3,391,1,249,0.0,0.0,70.8,128791355,1225948,1157932,128903815,8096000,4096,1380,0,1410,2130,fio
7682,10.51,10.3,391,1,249,0.1,0.1,70.7,128791355,1225948,1157932,128903815,8072000,28000,660,0,1433,2106,fio
7683,10.51,10.3,391,1,249,0.1,0.0,70.8,128791355,1225948,1157932,128903815,7808000,0,780,0,1326,2012,fio
7684,10.51,10.3,391,1,249,0.1,0.1,72.4,128791235,1225968,1158036,128903825,8048000,4096,1140,0,1398,2116,fio
7685,10.51,10.3,391,1,249,0.1,0.1,74.9,128791235,1225968,1158036,128903825,8416000,4096,720,0,1381,2117,fio
7686,10.55,10.31,391,1,249,0.1,0.1,74.9,128791235,1225968,1158036,128903825,8064000,172000,780,0,1312,2007,fio
7687,10.55,10.31,391,1,249,0.0,0.1,74.9,128791235,1225852,1158148,128903895,8016000,52000,884,0,1362,2027,fio
7688,10.55,10.31,391,1,249,0.0,0.1,74.9,128791235,1225852,1158148,128903895,8032000,4096,899,0,1356,2107,fio
7689,10.55,10.31,391,1,249,0.1,0.0,74.9,128791235,1225852,1158148,128903895,8448000,4096,660,0,1307,2031,fio
7690,10.55,10.31,391,1,249,0.1,0.1,74.8,128791115,1225864,1158256,128903895,8176000,4096,720,0,1332,2039,fio
7691,10.67,10.34,391,1,249,0.1,0.1,70.7,128791115,1225864,1158256,128903895,8064000,176000,944,0,1364,2061,fio
7692,10.67,10.34,391,1,249,0.1,0.1,74.9,128791095,1225796,1158340,128903945,8224000,24000,1445,0,1368,2122,fio
7693,10.67,10.34,391,1,249,0.1,0.1,74.8,128791095,1225796,1158340,128903945,8480000,4096,802,0,1357,2074,fio
7694,10.67,10.34,391,1,249,0.1,0.1,74.9,128791095,1225796,1158340,128903945,8128000,4096,840,0,1372,2089,fio
